instance,database,test_time,db_name,batch_id,query_id,query_time
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,1,2.780
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,2,0.458
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,3,0.548
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,4,0.266
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,5,0.585
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,6,0.539
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,7,0.679
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,8,0.814
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,9,2.027
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,10,0.745
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,11,0.174
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,12,0.677
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,13,1.954
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,14,0.410
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,15,1.648
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,16,0.854
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,17,2.394
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,18,3.620
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,19,0.069
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,20,2.627
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,21,0.984
local,postgresql,2018-12-05-23:17:38,tpch_1g,4,22,0.217
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,1,2.842
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,2,0.457
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,3,0.632
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,4,0.267
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,5,0.591
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,6,0.841
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,7,0.678
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,8,0.824
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,9,1.992
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,10,0.642
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,11,0.175
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,12,0.675
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,13,1.964
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,14,0.434
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,15,1.641
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,16,0.886
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,17,2.425
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,18,3.632
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,19,0.073
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,20,2.620
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,21,0.980
local,postgresql,2018-12-06-10:35:12,tpch_1g,1,22,0.236
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,1,2.801
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,2,0.467
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,3,0.554
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,4,0.268
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,5,0.598
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,6,0.839
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,7,0.686
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,8,0.834
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,9,1.967
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,10,0.640
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,11,0.171
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,12,0.678
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,13,2.090
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,14,0.426
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,15,1.635
local,postgresql,2018-12-06-10:35:49,tpch_1g,1,16,0.867
